Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (døgn),Maksimumstemperatur (døgn),Minimumstemperatur (døgn)
Tromsø,SN90450,29.02.2024,2.1,4.6,0.2
Oslo - Blindern,SN18700,01.03.2024,3.8,4.7,2.8
Tromsø,SN90450,01.03.2024,5.9,7.6,0.5
Oslo - Blindern,SN18700,02.03.2024,4.2,4.9,3.6
Tromsø,SN90450,02.03.2024,3.2,5.8,1.4
Oslo - Blindern,SN18700,03.03.2024,4.2,4.6,3.7
Tromsø,SN90450,03.03.2024,2,5.6,1.1
Oslo - Blindern,SN18700,04.03.2024,3.5,4.7,2.9
Tromsø,SN90450,04.03.2024,0.1,5.5,-2.6
Oslo - Blindern,SN18700,05.03.2024,2.7,5,2
Tromsø,SN90450,05.03.2024,-0.8,2.4,-2.9
Oslo - Blindern,SN18700,06.03.2024,1.1,4.7,-0.1
Tromsø,SN90450,06.03.2024,0.4,3.3,-2.8
Oslo - Blindern,SN18700,07.03.2024,0.9,7.6,-4.6
Tromsø,SN90450,07.03.2024,1.6,3.8,0.7
Oslo - Blindern,SN18700,08.03.2024,1.5,6.9,-3.3
Tromsø,SN90450,08.03.2024,0.3,1.9,-1.1
Oslo - Blindern,SN18700,09.03.2024,0.9,2.9,-0.2
Tromsø,SN90450,09.03.2024,1,2.7,-0.7
Oslo - Blindern,SN18700,10.03.2024,-1.4,0.5,-2.2
Tromsø,SN90450,10.03.2024,1.5,2.2,0.8
Oslo - Blindern,SN18700,11.03.2024,-0.3,2.4,-1.7
Tromsø,SN90450,11.03.2024,1.8,3,1.3
Oslo - Blindern,SN18700,12.03.2024,0.9,7.1,-3.4
Tromsø,SN90450,12.03.2024,0.4,1.9,-0.8
Oslo - Blindern,SN18700,13.03.2024,2.3,3.5,-0.9
Tromsø,SN90450,13.03.2024,-2.3,0.1,-4.6
Oslo - Blindern,SN18700,14.03.2024,6.2,9.8,3.2
Tromsø,SN90450,14.03.2024,-4.2,-2.7,-7.1
Oslo - Blindern,SN18700,15.03.2024,4.3,5.6,3.3
Tromsø,SN90450,15.03.2024,-2.3,0.5,-4.4
Oslo - Blindern,SN18700,16.03.2024,0.7,4.8,-0.8
Tromsø,SN90450,16.03.2024,-5.8,-2.2,-7.4
Oslo - Blindern,SN18700,17.03.2024,-1.3,2,-4.7
Tromsø,SN90450,17.03.2024,-3.5,-2.4,-6.6
Oslo - Blindern,SN18700,18.03.2024,-1,2.5,-4.1
Tromsø,SN90450,18.03.2024,1.7,3,-2.4
Oslo - Blindern,SN18700,19.03.2024,0.7,2.2,-0.8
Tromsø,SN90450,19.03.2024,2.7,4.2,2.1
Oslo - Blindern,SN18700,20.03.2024,2.4,5.1,0.4
Tromsø,SN90450,20.03.2024,2.7,4.5,0.9
Oslo - Blindern,SN18700,21.03.2024,3.5,7.3,1.3
Tromsø,SN90450,21.03.2024,2.3,5.2,1
Oslo - Blindern,SN18700,22.03.2024,6,12.2,1
Tromsø,SN90450,22.03.2024,2.1,5.4,-1.5
Oslo - Blindern,SN18700,23.03.2024,4.4,7.1,1.9
Tromsø,SN90450,23.03.2024,-0.4,3.6,-3.7
